image,label,fen_before,fen_after
img0,0000,r6r/4k2p/2p1p2b/3p1p1P/1P1PnP1R/2P1P3/pP3P2/1R2K3 w - - 0 1,r6r/4k2p/2p1p2b/3p1p1P/1P1PnP1R/2P1P3/pP1B1P2/3RK3 w - - 0 1
img1,bxc3,2r2r2/p3p2k/1p1pq1p1/6p1/8/2b2nP1/PPB2PQP/R2R3K w - - 0 1,2r2r2/p3p2k/1p1pq1p1/6p1/8/2P2nP1/P1B2PQP/R2R3K w - - 0 1
img2,e4,7R/8/5p2/4pkpp/8/6PP/1r6/5K2 w - - 0 1,7R/8/5p2/5kpp/4p3/6PP/1r6/5K2 w - - 0 1
img3,Nc6,rn3b1k/ppp3pp/1q3n2/4p3/8/PB1P1Q1N/1PP2PPP/R1B2RK1 w - - 0 1,r4b1k/ppp3pp/1qn2n2/4p3/8/PB1P1Q1N/1PP2PPP/R1B2RK1 w - - 0 1
img4,Rhh5,q5k1/p1p2p2/p3pQpr/P2pP3/3P4/2P2PK1/8/R4R2 w - - 0 1,q5k1/p1p2p2/p3pQp1/P2pP2r/3P4/2P2PK1/8/R4R2 w - - 0 1
img5,0000,5rk1/p2b1p1p/q2p2p1/2p1pP2/P2nP1P1/2B5/4BK1N/1N1Q4 w - - 0 1,5rk1/p2b1p1p/q2p2p1/2p1pP2/P5P1/3P4/4BK1N/1N1Q4 w - - 0 1
img6,0000,8/3k2pp/2p5/1P1n4/4r3/3q4/P2P1KPP/2RQ3R w - - 0 1,8/3k2pp/2P5/3n4/4r3/3q4/3P1KPP/2RQ3R w - - 0 1
img7,Kxb3,8/8/p3p2p/P7/7k/1pK5/1P6/8 w - - 0 1,8/8/p3p2p/P7/7k/1K6/1P6/8 w - - 0 1
img8,Kxg3,8/1K6/8/7Q/7P/5kP1/8/8 w - - 0 1,8/1K6/8/7Q/7P/6k1/8/8 w - - 0 1
img9,Kfe3,8/8/8/4k1pp/1pp5/5KPP/PP6/8 w - - 0 1,8/8/8/4k1pp/1pp5/4K1PP/PP6/8 w - - 0 1
